geotype,borough,geoid,bct2020,pop_20,pop_20p,hhpop_20,hhpop_20p,gq_20,gq_20p,instgq_20,instgq_20p,avhhsz_20,popu18_20,popu18_20p,hsp_20,hsp_20p,wnh_20,wnh_20p,bnh_20,bnh_20p,anh_20,anh_20p,onh_20,onh_20p,nh2pl_20,nh2pl_20p,hunits_20,hunits_20p,ochu_20,ochu_20p,vachu_20,vachu_20p
CT2020,Staten Island,36085003600,5003600,2792,1.0,"2,792",1.0,0,0.0,0,0.0,3.21,669,0.24,761,0.273,"1,011",0.36200000000000004,155,0.055999999999999994,768,0.275,33,0.012,64,0.023,917,1.0,871,0.95,46,0.05
CT2020,Staten Island,36085003900,5003900,2179,1.0,"2,089",0.9590000000000001,90,0.040999999999999995,0,0.0,2.02,335,0.154,521,0.239,971,0.446,466,0.214,116,0.053,25,0.011000000000000001,80,0.037000000000000005,1079,1.0,"1,033",0.9570000000000001,46,0.043
CT2020,Staten Island,36085004001,5004001,2775,1.0,"2,752",0.992,23,0.008,0,0.0,3.11,653,0.235,879,0.317,380,0.13699999999999998,840,0.303,574,0.207,34,0.012,68,0.025,914,1.0,886,0.9690000000000001,28,0.031
CT2020,Staten Island,36085004002,5004002,3409,1.0,"3,409",1.0,0,0.0,0,0.0,3.39,686,0.201,825,0.242,153,0.045,840,0.24600000000000002,"1,520",0.446,27,0.008,44,0.013000000000000001,1034,1.0,"1,006",0.973,28,0.027000000000000003
CT2020,Staten Island,36085004003,5004003,4851,1.0,"4,851",1.0,0,0.0,0,0.0,2.7,"1,535",0.316,"1,116",0.23,92,0.019,"3,302",0.6809999999999999,163,0.034,43,0.009000000000000001,135,0.027999999999999997,1827,1.0,"1,795",0.982,32,0.018000000000000002
CT2020,Staten Island,36085004004,5004004,2807,1.0,"2,781",0.991,26,0.009000000000000001,11,0.004,3.08,671,0.239,824,0.294,344,0.12300000000000001,699,0.249,838,0.299,15,0.005,87,0.031,946,1.0,904,0.956,42,0.044000000000000004
CT2020,Staten Island,36085004700,5004700,3126,1.0,"2,622",0.8390000000000001,504,0.161,0,0.0,2.37,464,0.14800000000000002,525,0.168,"1,803",0.5770000000000001,286,0.091,409,0.131,37,0.012,66,0.021,1216,1.0,"1,107",0.91,109,0.09
CT2020,Staten Island,36085005000,5005000,4357,1.0,"4,338",0.996,19,0.004,0,0.0,2.9,921,0.21100000000000002,650,0.149,"2,274",0.522,201,0.046,"1,138",0.261,35,0.008,59,0.013999999999999999,1578,1.0,"1,495",0.9470000000000001,83,0.053
CT2020,Staten Island,36085005901,5005901,2854,1.0,"2,843",0.996,11,0.004,0,0.0,2.44,532,0.18600000000000003,372,0.13,"2,004",0.7020000000000001,126,0.044000000000000004,259,0.091,13,0.005,80,0.027999999999999997,1225,1.0,"1,163",0.9490000000000001,62,0.051
CT2020,Staten Island,36085005902,5005902,5,1.0,5,1.0,0,0.0,0,0.0,0.0,5,1.0,2,0.4,0,0.0,1,0.2,1,0.2,0,0.0,1,0.2,1,1.0,0,0.0,1,1.0
CT2020,Staten Island,36085006400,5006400,3698,1.0,"3,633",0.982,65,0.018000000000000002,0,0.0,2.82,762,0.20600000000000002,792,0.214,"1,828",0.494,388,0.105,569,0.154,33,0.009000000000000001,88,0.024,1359,1.0,"1,288",0.948,71,0.052000000000000005
CT2020,Staten Island,36085006700,5006700,2927,1.0,"2,799",0.956,128,0.044000000000000004,0,0.0,2.45,590,0.20199999999999999,460,0.157,"2,007",0.6859999999999999,157,0.054000000000000006,173,0.059000000000000004,14,0.005,116,0.04,1187,1.0,"1,141",0.961,46,0.039
CT2020,Staten Island,36085007001,5007001,2634,1.0,"2,625",0.997,9,0.003,0,0.0,2.8,478,0.18100000000000002,423,0.161,"1,697",0.644,32,0.012,422,0.16,10,0.004,50,0.019,978,1.0,938,0.9590000000000001,40,0.040999999999999995
CT2020,Staten Island,36085007002,5007002,6215,1.0,"5,877",0.946,338,0.054000000000000006,216,0.035,3.15,"1,220",0.196,"1,030",0.166,"3,611",0.581,228,0.037000000000000005,"1,203",0.19399999999999998,32,0.005,111,0.018000000000000002,1970,1.0,"1,867",0.948,103,0.052000000000000005
