borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
BROOKLYN,3421358,2960,BRIGHTON 4TH STREET,320909371,11235,2019-07-31,CORPORATION,N,40.57952,-73.964141
BROOKLYN,3815623,2769,FULTON STREET,320912321,11207,2019-08-01,INDIVIDUAL,N,40.677944,-73.892329
BROOKLYN,3048266,916,HERKIMER STREET,321197361,11233,2019-08-02,CORPORATION,N,40.678189,-73.923208
BROOKLYN,3428820,1409,FLATBUSH AVENUE,321194104,11210,2019-08-02,INDIVIDUAL,N,40.636373,-73.951395
BROOKLYN,3427017,1089,PRESIDENT STREET,321383383,11225,2019-08-02,NYC AGENCY,N,40.668297,-73.954613
BROOKLYN,3115884,256,WINTHROP STREET,320911992,11225,2019-08-02,CORPORATION,N,40.657001,-73.951669
BROOKLYN,3056511,179,GATES AVENUE,320911509,11238,2019-08-02,PARTNERSHIP,N,40.685078,-73.960561
BROOKLYN,3426341,734,GLENMORE AVENUE,321194676,11208,2019-08-05,INDIVIDUAL,N,40.675078,-73.883198
BROOKLYN,3424440,730,GLENMORE AVENUE,321194685,11208,2019-08-05,INDIVIDUAL,N,40.675062,-73.883314
BROOKLYN,3426780,81,INDIA STREET,321387138,11222,2019-08-05,CORPORATION,N,40.732113,-73.956925
BROOKLYN,3414335,24,FAYETTE STREET,321385229,11206,2019-08-06,CORPORATION,N,40.700527,-73.939783
BROOKLYN,3053350,467,TOMPKINS AVE,321325017,11216,2019-08-06,CORPORATION,N,40.681412,-73.943513
BROOKLYN,3426554,76,SOUTH 2ND STREET,321385942,11249,2019-08-06,PARTNERSHIP,N,40.714151,-73.964714
BROOKLYN,3426553,74,SOUTH 2ND STREET,321385960,11249,2019-08-06,PARTNERSHIP,N,40.714171,-73.964783
BROOKLYN,3123064,1224,39 STREET,321512412,11218,2019-08-06,CORPORATION,N,40.641521,-73.987792
BROOKLYN,3426086,3,CROSBY AVENUE,321383338,11207,2019-08-07,CORPORATION,N,40.681711,-73.895986
BROOKLYN,3170549,842,EAST 10 STREET,321790237,11230,2019-08-07,INDIVIDUAL,N,40.628131,-73.966838
BROOKLYN,3421823,1803,EAST 16TH ST,321411646,11229,2019-08-07,CORPORATION,N,40.605713,-73.956744
BROOKLYN,3076387,400,LINDEN STREET,320912250,11237,2019-08-09,CORPORATION,N,40.700954,-73.911951
BROOKLYN,3142240,1167,66TH STREET,321963639,11219,2019-08-12,CORPORATION,N,40.627219,-74.005177
BROOKLYN,3117824,933,ROGERS AVENUE,321849489,11226,2019-08-12,PARTNERSHIP,N,40.647479,-73.952119
BROOKLYN,3117823,937,ROGERS AVENUE,321849498,11226,2019-08-12,PARTNERSHIP,N,40.6474,-73.952112
BROOKLYN,3044978,165,MALCOLM X BLVD,320910500,11221,2019-08-13,CORPORATION,N,40.687596,-73.929976
BROOKLYN,3426251,210,PARKVILLE AVENUE,321383962,11230,2019-08-14,CORPORATION,N,40.631266,-73.970616
BROOKLYN,3239752,1716,EAST 54TH STREET,321186122,11234,2019-08-23,PARTNERSHIP,N,40.615785,-73.922653
BROOKLYN,3049840,735,LAFAYETTE AVENUE,321800814,11221,2019-08-15,CORPORATION,N,40.690755,-73.943783
BROOKLYN,3332258,570,NOSTRAND AVE,321628789,11216,2019-08-15,PARTNERSHIP,N,40.679235,-73.949634
BROOKLYN,3426555,74A,SOUTH 2ND STREET,321385951,11249,2019-08-20,PARTNERSHIP,N,40.714171,-73.964783
BROOKLYN,3428706,50,PENNSYLVANIA AVE,321383702,11207,2019-08-21,CORPORATION,N,40.676766,-73.897126
BROOKLYN,3056469,151,QUINCY STREET,321386326,11216,2019-08-22,CORPORATION,N,40.68644,-73.955228
BROOKLYN,3128179,639,FOSTER AVENUE,321383560,11230,2019-08-22,CORPORATION,N,40.630684,-73.970144
BROOKLYN,3078197,1064,HANCOCK STREET,321384408,11221,2019-08-23,CORPORATION,N,40.688648,-73.914679
BROOKLYN,3427253,58,PALMETTO STREET,321830088,11221,2019-08-26,CORPORATION,N,40.69079,-73.919605
BROOKLYN,3425944,258,WINTHROP STREET,320912009,11225,2019-08-26,CORPORATION,N,40.657003,-73.951622
BROOKLYN,3426653,2,KINGS PL,321929776,11223,2019-08-26,INDIVIDUAL,N,40.604275,-73.974939
BROOKLYN,3117830,30,EAST 29TH STREET,321955041,11226,2019-08-26,INDIVIDUAL,N,40.647657,-73.950223
BROOKLYN,3172628,2345,60 STREET,321385158,11204,2019-08-27,PARTNERSHIP,N,40.614494,-73.974766
BROOKLYN,3414031,263,MCGUINESS BLVD.,320917193,11222,2019-08-28,CORPORATION,N,40.731046,-73.951745
BROOKLYN,3068034,30,RICHARDSON STREET,321191660,11211,2019-08-29,PARTNERSHIP,N,40.718195,-73.951083
BROOKLYN,3426271,277,THROOP AVE,321401130,11206,2019-08-30,PARTNERSHIP,N,40.694142,-73.943149
BROOKLYN,3053705,1190,FULTON STREET,321550674,11216,2019-09-03,PARTNERSHIP,N,40.680606,-73.953022
BROOKLYN,3426687,520,HART ST,321384916,11221,2019-09-03,CORPORATION,N,40.696065,-73.930749
BROOKLYN,3140402,1227,58 STREET,321564945,11219,2019-09-04,INDIVIDUAL,N,40.630875,-73.998815
BROOKLYN,3428676,295,HICKS STREET,320594362,11201,2019-09-06,PARTNERSHIP,N,40.692569,-73.99713
BROOKLYN,3117745,2337,BEDFORD AVENUE,321915898,11226,2019-09-06,CORPORATION,N,40.646816,-73.955654
BROOKLYN,3044174,771,LEXINGTON AVENUE,321384499,11221,2019-09-09,CORPORATION,Y,40.690119,-73.929778
BROOKLYN,3253056,100,LENOX ROAD,320911554,11226,2019-09-09,CORPORATION,N,40.653739,-73.956659
BROOKLYN,3426048,8218,AVENUE J,321073137,11236,2019-09-11,CORPORATION,N,40.635094,-73.909508
BROOKLYN,3187367,168,BAY 49 STREET,321826743,11214,2019-09-11,PARTNERSHIP,N,40.586581,-73.98706
BROOKLYN,3166518,8658,BAY 16TH STREET,321938631,11214,2019-09-11,PARTNERSHIP,N,40.607075,-74.00524
BROOKLYN,3068238,526,UNION AVE,321383891,11211,2019-09-12,CORPORATION,N,40.716205,-73.951961
BROOKLYN,3348923,340,IRVING AVENUE,321915736,11237,2019-09-13,PARTNERSHIP,N,40.698191,-73.912939
BROOKLYN,3428879,2510,NEWKIRK AVENUE,321925020,11226,2019-09-16,CORPORATION,N,40.639698,-73.953
BROOKLYN,3428880,2512,NEWKIRK AVENUE,321925011,11226,2019-12-12,CORPORATION,N,40.639698,-73.952986
BROOKLYN,3426802,8662,BAY 16TH STREET,321938659,11214,2019-09-16,PARTNERSHIP,N,40.607017,-74.005301
BROOKLYN,3426801,8660,BAY 16TH STREET,321938640,11214,2019-09-16,PARTNERSHIP,N,40.607047,-74.005269
BROOKLYN,3071814,13,GARDEN STREET,321385933,11206,2019-09-18,CORPORATION,N,40.701253,-73.937831
BROOKLYN,3254241,2454,E 15 STREET,321913596,11235,2019-09-18,CORPORATION,N,40.591069,-73.954942
BROOKLYN,3426129,107,MADISON STREET,321383445,11216,2019-09-18,CORPORATION,N,40.684227,-73.954912
BROOKLYN,3036092,1226,ST MARKS AVENUE,320910403,11213,2019-09-19,CORPORATION,N,40.674056,-73.929067
BROOKLYN,3123134,1246,38 STREET,321718469,11218,2019-09-20,INDIVIDUAL,N,40.641875,-73.986862
BROOKLYN,3000370,9,DEKALB AVENUE,320914338,11201,2019-10-15,PARTNERSHIP,N,40.689985,-73.98254
BROOKLYN,3062736,475,GRAND STREET,321726469,11211,2019-09-25,CORPORATION,N,40.711073,-73.952095
BROOKLYN,3414246,297,HICKS STREET,320594371,11201,2019-09-25,PARTNERSHIP,N,40.692523,-73.997155
BROOKLYN,3414245,299,HICKS STREET,320594380,11201,2019-09-26,PARTNERSHIP,N,40.692473,-73.997176
BROOKLYN,3166519,8664,BAY 16TH STREET,321938668,11214,2019-09-26,PARTNERSHIP,N,40.60699,-74.00533
BROOKLYN,3182539,1657,EAST 19 STREET,321296566,11229,2019-09-26,CORPORATION,N,40.609547,-73.954548
BROOKLYN,3817032,97,GRATTAN STREET,320724506,11237,2019-09-27,CORPORATION,N,40.706063,-73.929242
BROOKLYN,3856490,326,AVENUE U,320911901,11223,2019-09-27,CORPORATION,N,40.597086,-73.972187
BROOKLYN,3251795,95,GRATTAN STREET,320724490,11237,2019-09-27,CORPORATION,N,40.706052,-73.9293
BROOKLYN,3425747,611,AVENUE I,320911000,11230,2019-09-30,INDIVIDUAL,N,40.626636,-73.97042
BROOKLYN,3425749,891,OCEAN PARKWAY,320910984,11230,2019-09-30,INDIVIDUAL,N,40.626872,-73.970967
BROOKLYN,3107093,648,MIDWOOD STREET,321948238,11203,2019-10-02,CORPORATION,N,40.660824,-73.939072
BROOKLYN,3399785,1111,FULTON STREET,321186471,11238,2019-10-24,INDIVIDUAL,N,40.681429,-73.957037
BROOKLYN,3072195,48,JEFFERSON STREET,321529645,11206,2019-10-03,INDIVIDUAL,N,40.698646,-73.933228
BROOKLYN,3028314,525,ST. MARKS AVE.,321625899,11238,2019-10-07,CORPORATION,N,40.676062,-73.956662
BROOKLYN,3071878,20,ARION PLACE,321386273,11206,2019-10-08,INDIVIDUAL,N,40.698387,-73.936171
BROOKLYN,3089317,210,BERRIMAN ST,321977875,11208,2019-10-08,CORPORATION,N,40.673562,-73.879722
BROOKLYN,3818355,179,HERZL STREET,321660207,11212,2019-10-10,CORPORATION,N,40.665683,-73.914575
BROOKLYN,3428885,1152,47 STREET,320599688,11219,2019-10-11,INDIVIDUAL,N,40.638055,-73.994138
BROOKLYN,3068066,390,LEONARD STREET,321939783,11211,2019-10-15,CORPORATION,N,40.71823,-73.94837
BROOKLYN,3426450,232,EXETER STREET,321385256,11235,2019-10-16,CORPORATION,N,40.576478,-73.948073
BROOKLYN,3428607,1238,63 STREET,321830426,11219,2019-10-16,CORPORATION,N,40.627908,-74.001592
BROOKLYN,3028297,906,BERGEN STREET,321193374,11238,2019-10-16,CORPORATION,N,40.677158,-73.957491
BROOKLYN,3323683,87,HERKIMER STREET,321713259,11216,2019-10-25,PARTNERSHIP,N,40.679705,-73.950679
BROOKLYN,3424437,138,BAY 10TH STREET,321186060,11228,2019-10-24,CORPORATION,N,40.608268,-74.011582
BROOKLYN,3426615,138,GLEN STREET,321386594,11208,2019-10-25,CORPORATION,N,40.680993,-73.870608
BROOKLYN,3426614,136,GLEN STREET,321386601,11208,2019-10-25,CORPORATION,N,40.680988,-73.870655
BROOKLYN,3323684,85,HERKIMER ST,321713240,11216,2019-10-29,PARTNERSHIP,N,40.679705,-73.950726
BROOKLYN,3029436,484,STERLING PL,321745849,11238,2019-11-01,PARTNERSHIP,N,40.674354,-73.962132
BROOKLYN,3428532,134,BAY 29TH STREET,321968322,11214,2019-10-29,CORPORATION,N,40.599765,-73.997346
BROOKLYN,3106543,421,MAPLE STREET,321384676,11225,2019-11-06,CORPORATION,N,40.661058,-73.947088
BROOKLYN,3183165,2218,OCEAN AVE,321788044,11229,2019-10-30,CORPORATION,N,40.607614,-73.952976
BROOKLYN,3428531,138,BAY 29TH STREET,321968331,11214,2019-10-30,CORPORATION,N,40.599708,-73.997407
BROOKLYN,3426503,60,FRONT STREET,321384364,11201,2019-10-30,PARTNERSHIP,Y,40.70253,-73.990536
BROOKLYN,3426449,234,EXETER STREET,321385238,11235,2019-10-30,INDIVIDUAL,N,40.576445,-73.948066
